    37
        0.00    0.000e+00
        8.32    0.000e+00
        8.32    1.000e-23
        8.50    2.600e-22
        9.00    1.260e-21
        9.50    1.310e-21
       10.00    1.800e-21
       10.50    2.400e-21
       11.00    4.200e-21
       11.50    6.200e-21
       12.00    8.400e-21
       12.50    1.050e-20
       13.00    1.280e-20
       14.00    1.700e-20
       15.00    2.140e-20
       16.00    2.550e-20
       18.00    3.350e-20
       20.00    3.730e-20
       25.00    3.850e-20
       30.00    3.570e-20
       40.00    2.850e-20
       50.00    2.400e-20
       60.00    2.100e-20
       70.00    1.850e-20
       80.00    1.660e-20
       90.00    1.520e-20
      100.00    1.380e-20
      150.00    1.000e-20
      200.00    8.000e-21
      300.00    5.680e-21
      400.00    4.650e-21
      500.00    3.950e-21
      600.00    3.440e-21
      700.00    3.020e-21
      800.00    2.770e-21
      900.00    2.520e-21
     1000.00    2.310e-21

     2000.00    1.320e-21
     3000.00    9.500e-22
     4000.00    7.500e-22
     5000.00    6.300e-22
    10000.00    3.600e-22       

xxxxNNNNN.NNxxx+N.NNNe+NN   

Excitation collisions cross-section of electrons in xenon
format 4x,f8.2,3x,e10.3
column # 1 - energy, [eV]
column # 2 - cross-section, [m^2]
line # 1 - number of cross-section values to read

From [M.Hayashi, J.Phys.D: Appl.Phys., v.16, 581 (1983)]     
       
